TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
BANF1	2055	2228	2947	2031	2602
BARD1	39	61	103	36	18
BARHL1	0	0	0	0	0
BARX1	0	0	3	0	0
BARX2	40	95	21	34	36
BASP1	17689	17761	5245	18224	20337
BATF2	104	71	88	50	57
BATF3	110	111	42	91	111
BATF	3	18	6	1	5
BAX	704	751	1147	635	789
BAZ1A	185	507	634	155	218
BBOX1	932	730	871	853	830
BBS7	1931	2183	1383	2085	1974
BCAN	13616	11224	14800	12862	12474
BCDIN3D	170	146	531	185	162
BCHE	524	541	1797	564	528
BCL11A	2940	2676	1092	2538	2678
BCL11B	749	974	435	814	639
BCL2A1	34	84	20	10	124
BCL2L10	14	5	1	13	7
BCL2L11	309	469	696	279	316
BCL2L12	21	35	57	21	20
BCL2L14	0	0	0	0	0
BCL3	146	372	131	160	279
BCL6	2427	2962	3436	1946	1892
BCL7C	445	812	1054	513	565
BCMO1	4	15	33	12	12
BDH1	1745	2258	937	1963	2021
BDNF	774	2543	439	1343	1232
BEGAIN	3044	2695	779	2877	2729
BEND4	357	465	71	387	233
BEST2	0	0	0	0	0
BEST3	28	60	214	52	18
BET3L	0	0	0	0	0
BEX2	6441	5949	3211	5903	6384
BEX5	3453	3161	1359	3198	4156
BFSP1	265	260	85	221	201
BFSP2	0	0	0	0	0
BGLAP	65	80	106	48	108
BGN	2224	3399	5417	2348	1793
BHLHB9	2302	2124	1141	2632	1941
BHLHE22	1119	357	52	1157	1320
BHMT	111	24	10	43	66
BID	1424	1107	1257	1304	1484
BIK	1	0	0	1	1
BIN1	12894	19401	39456	12520	15225
BIRC5	0	7	77	0	9
BIRC7	1	0	42	3	1
BLK	0	1	0	0	0
BLM	241	221	166	333	257
BMF	75	78	114	85	88
BMP1	335	404	798	396	318
BMP2	160	458	512	121	170
BMP4	79	39	107	74	34
BMP7	1935	1972	3867	2343	2140
BNC2	81	46	87	65	48
BOC	814	878	459	571	549
BOK	1442	3051	17041	1654	3001
BPIL1	0	0	0	0	0
BPI	0	0	0	0	0
BRCA1	112	246	766	136	203
BRCA2	24	19	17	20	7
BRD7P3	0	0	0	0	0
BREA2	4	1	3	2	0
BRI3	1124	1111	1298	1222	1201
BRIP1	13	6	4	15	14
BRSK1	11991	10418	8221	11663	10018
BRSK2	5751	5715	3173	5605	4874
BRWD3	179	212	124	222	105
BSCL2	17798	16609	6555	17320	18675
BSN	26573	23493	4452	25975	16870
BSPRY	146	86	28	92	138
BST1	10	17	86	7	18
BST2	1302	901	1457	650	942
BTBD10	3809	4141	1911	3912	4207
BTBD16	2	23	328	2	25
BTBD17	94	87	229	81	207
BTBD9	6200	5148	1855	5272	4947
BTF3	5717	5940	8771	4895	7017
BTG1	1968	1741	1782	1594	2630
BTG3	542	847	956	598	757
BTK	166	108	261	93	140
BTLA	4	0	1	1	0
BTN1A1	0	0	0	0	0
BTN2A2	165	126	198	175	178
BTN2A3	4	2	2	3	3
BTN3A1	476	362	997	563	537
BTN3A2	571	400	675	412	546
BTN3A3	233	380	445	516	512
BTNL3	0	0	0	1	0
BTNL8	1	1	0	0	0
BTRC	6424	6312	2526	6569	5864
BUB1B	16	6	18	18	5
BUB1	7	1	28	9	5
BZRAP1	15020	8339	2823	12699	9526
C10orf110	130	67	492	158	223
C10orf11	16	24	30	13	26
C10orf125	99	96	72	53	68
C10orf128	23	16	408	14	17
C10orf140	203	157	175	179	256
C10orf25	55	69	101	67	90
C10orf2	299	375	472	325	305
C10orf35	2082	1514	603	1768	1943
C10orf55	0	2	0	0	0
C10orf62	0	0	3	0	0
C10orf67	22	13	21	9	11
C10orf79	68	35	50	74	45
C10orf81	0	0	0	0	0
C10orf82	40	27	32	90	87
C10orf90	218	702	4139	258	691
C11orf35	0	0	9	7	3
C11orf41	14084	12489	2413	13427	11175
C11orf65	7	6	11	8	3
C11orf67	99	142	564	97	181
C11orf70	13	6	7	14	13
C11orf75	89	109	98	51	84
C11orf82	27	29	26	25	11
C11orf86	0	0	0	0	0
C11orf87	6593	3296	954	6657	6730
C11orf88	0	0	10	0	0
C11orf90	27	24	2	33	12
C11orf92	83	59	96	72	68
C11orf93	63	28	43	67	61
C11orf9	2197	9617	57641	3404	7292
C12orf48	36	34	49	44	35
C12orf50	0	0	0	0	0
C12orf56	0	0	0	0	0
C12orf60	11	17	73	15	15
C12orf61	7	5	21	8	4
C12orf68	2148	1520	481	2131	2238
C12orf70	0	0	0	1	0
C12orf76	3017	2598	7610	3256	4163
C13orf16	40	67	24	60	97
C13orf1	2411	1833	1833	2268	2449
C13orf26	1	15	10	13	5
C13orf27	233	231	278	204	227
C13orf31	384	519	2903	311	762
C13orf34	64	43	128	35	73
C13orf36	2391	2673	570	2198	2719
C13orf38	38	13	4	13	26
C14orf105	0	0	1	0	0
C14orf138	648	604	367	515	586
C14orf143	53	42	129	55	53
C14orf149	113	155	415	91	129
C14orf162	255	235	68	246	173
C14orf166B	0	0	0	0	0
C14orf176	3	28	52	6	11
C14orf178	2	2	2	0	3
C14orf19	3	0	2	0	2
C14orf39	0	0	0	0	0
C14orf68	0	0	0	1	0
C14orf93	123	110	378	155	146
C15orf21	11	20	50	13	15
C15orf26	9	4	0	1	2
C15orf27	460	250	93	518	387
C15orf33	20	33	92	31	31
C15orf34	4	5	22	12	4
C15orf39	417	514	288	451	460
C15orf42	32	33	30	49	20
C15orf48	5	3	1	0	6
C15orf50	0	0	0	0	0
C15orf52	373	303	1153	506	390
C15orf54	0	0	0	0	0
C16orf48	315	301	448	317	360
C16orf52	2170	2833	1859	2269	2266
C16orf54	16	15	34	8	15
C16orf59	138	67	65	116	97
C16orf70	2318	2563	2992	2105	2159
C16orf71	16	10	38	25	10
C16orf73	2	80	14	7	7
C17orf102	201	91	32	271	226
C17orf107	430	326	79	548	418
C17orf108	2927	2618	1660	2905	2603
C17orf28	4268	3676	6388	4382	4186
C17orf44	27	22	31	31	21
C17orf47	0	2	0	2	1
C17orf51	4133	5050	1943	4928	3160
C17orf53	24	27	22	14	20
C17orf57	13	6	10	24	10
C17orf60	16	5	41	14	25
C17orf65	51	67	243	76	91
C17orf70	1047	1120	1636	1030	1140
C17orf74	0	0	1	0	0
C17orf82	1	0	2	1	3
C17orf87	13	6	6	1	9
C17orf88	5	0	0	3	7
C17orf91	392	1099	197	370	522
C17orf95	299	255	678	260	310
C17orf99	0	0	0	0	0
C18orf34	5	13	0	8	9
C18orf54	60	170	562	69	125
C18orf56	8	71	1025	33	77
C19orf18	3	5	48	6	7
C19orf23	17	26	22	33	42
C19orf30	410	667	182	362	397
C19orf35	26	9	18	4	1
C19orf38	48	25	136	21	42
C19orf40	6	9	57	13	10
C19orf45	9	7	74	8	15
C19orf48	360	493	997	399	406
C19orf51	8	9	20	3	3
C19orf57	116	89	290	126	117
