TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
DPY19L2P2	860	511	127	937	416
DPYD	229	237	1009	230	316
DPYSL3	9133	8584	7242	9755	8473
DRAM1	131	184	163	145	135
DRAM2	664	643	1175	516	735
DRD1	965	1254	435	1130	1097
DRD5	225	226	115	225	188
DSC1	10	0	0	15	13
DSCC1	83	56	134	55	102
DSCR6	1	0	0	0	0
DSE	425	494	506	356	338
DSPP	0	0	0	0	0
DSP	1257	474	92	1212	528
DTHD1	0	4	5	0	0
DTL	17	32	31	4	12
DTNB	2983	2178	2101	2916	3041
DTX3L	1120	781	701	438	519
DTYMK	245	204	642	208	254
DUOX1	33	46	89	28	63
DUOX2	6	6	10	2	2
DUOXA1	0	6	20	0	2
DUS3L	571	665	1210	565	620
DUSP2	804	1442	177	811	757
DUSP3	9339	8757	4897	9559	7472
DUSP7	2136	2320	4939	2294	2880
DUSP8	6701	6618	2768	6302	5692
DVL2	810	809	1962	836	797
DYDC2	116	94	35	88	79
DYNC1I1	8584	7017	4271	8894	8572
DYNLRB2	7	12	35	13	14
DYNLT1	434	569	1052	456	629
DYNLT3	3606	3153	1434	4004	3835
DYSFIP1	0	0	0	0	0
DYSF	668	2492	8867	801	1730
DYX1C1	85	53	31	111	85
DZIP1L	33	12	31	35	35
E2F2	4	2	5	2	2
E2F5	162	271	186	178	187
E2F7	1	14	4	2	12
E2F8	1	0	1	0	0
EAF2	121	74	104	87	105
EBF1	93	131	102	85	155
EBF2	0	0	0	0	0
EBF3	10	6	4	8	12
EBF4	684	957	2103	708	710
EBI3	133	124	128	61	55
EBPL	288	225	247	320	414
ECEL1	59	43	0	10	10
ECM2	197	186	229	304	208
ECSCR	25	68	26	8	19
ECT2L	21	8	11	12	22
EDA2R	6	31	257	29	16
EDARADD	69	69	67	39	37
EDAR	3	0	0	1	0
EDEM2	353	406	1038	366	463
EDIL3	4547	5620	19928	4984	4711
EDN2	0	0	0	0	0
EDNRA	259	496	228	299	272
EDNRB	4842	3440	4660	5091	4844
EEF1A1	35104	36904	50052	35313	45323
EEF1A2	45713	48173	11991	42808	39456
EEF1D	4156	4819	7885	4028	4882
EEF1G	8703	7367	8791	7412	8881
EEF2	59827	64051	44191	56217	44555
EEPD1	500	775	1802	542	661
EFCAB3	0	0	0	0	0
EFCAB4B	15	10	4	14	4
EFEMP1	1343	1531	1978	2287	1394
EFEMP2	1182	1065	1036	1265	993
EFHA2	3849	2719	1441	3900	3490
EFHB	27	14	45	70	7
EFHC1	660	489	616	741	680
EFHD2	8192	10218	3494	7991	7417
EFNA2	2	2	4	7	7
EFNA3	1413	3928	527	1546	1411
EFNA4	21	14	36	10	23
EFNA5	1014	1114	412	1115	1075
EFNB1	436	704	382	474	501
EFNB3	5382	7664	2088	5654	4953
EFR3A	8062	6768	2355	8784	7895
EFR3B	8908	9915	3817	9074	7421
EGFL6	60	17	3	39	81
EGFL7	2491	2716	1378	2503	2526
EGFLAM	34	56	30	24	11
EGFR	1006	604	338	1125	380
EGF	70	39	26	74	46
EGOT	0	0	0	0	0
EGR3	4864	10408	671	4091	5067
EGR4	390	767	38	174	917
EHD3	11031	9238	3485	10266	9044
EID2B	1117	719	706	1044	1068
EID3	94	126	162	112	134
EIF3D	3328	3303	4537	3160	3517
EIF3E	3444	2552	3736	2999	3896
EIF3H	3499	3636	3954	3372	4084
EIF3IP1	0	0	0	0	0
EIF3L	7766	6798	6503	7486	8090
EIF4E1B	214	100	23	207	157
EIF4E3	3554	2987	2294	3346	3172
EIF4EBP1	99	164	160	96	125
EIF4EBP3	135	83	247	134	115
EIF5B	2979	4044	4067	2768	3232
ELAVL2	4269	3503	1230	4526	3847
ELAVL3	6391	6111	10630	6586	6600
ELAVL4	2537	2114	468	2844	1992
ELF3	33	9	17	10	5
ELF4	101	105	176	62	76
ELK1	6471	4330	1346	5004	5543
ELK3	173	325	134	212	178
ELMO3	13	14	52	18	21
ELMOD1	6478	5666	1438	6384	6206
ELMOD2	100	117	164	116	81
ELN	691	880	1181	927	695
ELOVL4	2688	2006	953	2651	2528
ELP4	390	396	617	436	411
ELSPBP1	0	0	0	0	0
ELTD1	212	574	182	253	316
EMCN	124	327	140	198	204
EME1	32	9	64	7	10
EMID2	2694	864	122	2255	1729
EMILIN1	765	1141	1338	613	519
EMILIN2	111	120	158	80	114
EMILIN3	321	146	589	234	100
EML2	2374	2847	9307	2896	3063
EML3	1065	1414	2611	1041	1140
EMP1	910	8405	1263	505	2226
EMP3	283	424	380	277	229
EMR1	37	5	3	2	4
EMR3	0	0	0	0	0
EMR4P	19	11	20	13	33
EMX1	1038	679	150	946	731
EMX2OS	3566	3581	1252	3585	2846
EN1	0	0	0	0	0
EN2	1	9	119	1	10
ENAH	3851	5071	5648	3916	4079
ENC1	158388	172137	15409	158388	107128
ENG	1467	2106	1459	1700	1891
ENKUR	235	201	250	194	238
ENO2	46100	38122	14479	46100	44191
ENO3	34	14	104	36	46
ENPEP	21	89	15	27	39
ENPP2	2349	8636	70705	3427	8215
ENPP3	16	2	13	12	10
ENPP4	2549	3380	9140	2493	3005
ENTPD3	1441	610	223	1568	1366
ENTPD4	1764	1625	1076	2127	1427
ENTPD8	2	0	0	4	0
EPB41L1	22702	21718	10984	22636	20776
EPB41L3	12440	11335	13999	13465	11008
EPB41L4B	4534	2251	676	3855	3801
EPB41L5	1338	1287	1162	1394	1219
EPB41	811	377	444	757	689
EPB49	22167	14824	4209	20027	19879
EPCAM	199	449	295	113	243
EPHA10	2204	848	684	1862	1584
EPHA1	2	0	0	3	1
EPHA4	9880	3898	779	8198	7848
EPHA5	3898	2172	653	3410	2965
EPHA6	424	106	8	424	282
EPHA7	1330	920	348	1206	1040
EPHA8	166	209	111	164	91
EPHB1	2097	1215	672	1809	1502
EPHB4	259	292	373	273	285
EPHB6	10237	11310	2983	10139	8670
EPHX3	3	2	3	3	6
EPHX4	881	596	126	903	894
EPN3	168	118	26	99	70
EPO	0	2	0	0	0
EPS8L1	10	1	12	7	10
EPSTI1	248	80	95	43	69
EPT1	5583	6593	5115	5583	5180
ERAP2	239	30	648	248	474
ERC2	4829	4667	1466	4864	4124
ERCC6L	6	7	7	5	5
ERGIC3	3584	3363	4539	3636	3934
ERI1	223	370	643	219	320
ERMN	3227	13676	93116	4610	13225
ERN1	59	65	68	37	30
ERP27	2	3	2	0	1
ERVFRDE1	0	0	0	0	0
ESAM	575	1028	568	799	931
ESCO2	5	3	11	2	3
ESPL1	12	5	15	9	2
ESPNL	1	3	16	17	11
ESPNP	2	2	3	4	4
ESPN	5	19	10	9	10
ESR2	17	17	15	18	8
ESX1	0	0	0	0	0
ESYT3	351	222	110	361	207
ETHE1	342	389	426	298	266
ETNK2	511	394	207	478	506
ETS1	1012	2377	1033	1167	1256
ETS2	6628	8771	2450	6997	6117
ETV1	2456	1725	1012	2555	2490
ETV2	1	2	20	2	1
ETV4	17	48	13	37	88
ETV6	564	866	707	592	618
ETV7	18	19	6	17	23
EVC2	20	15	16	19	18
EVC	262	152	111	235	128
EVI2A	961	2897	20388	1147	3338
EVI2B	446	202	1083	284	445
EVPLL	0	22	0	0	0
EVX1	0	0	0	0	0
EVX2	0	0	0	0	0
EXD1	37	10	13	21	37
EXO1	6	17	8	18	17
EXOC3L2	1	1	2	0	0
EXOC3L	51	67	65	47	55
EXOC6B	1200	1257	1598	1384	819
EXOC6	1822	2121	781	1751	1713
EXOSC8	218	410	865	241	414
EXPH5	112	65	128	124	124
EXTL1	4289	1804	855	3423	3442
EYA1	191	62	76	226	142
EYS	26	13	22	30	13
EZH2	29	41	42	30	44
EZR	6764	6299	5167	6741	6120
F13A1	919	209	86	189	212
F2RL1	102	39	83	42	44
F2RL2	13	11	4	9	6
F2RL3	2	0	0	2	0
F2R	131	232	218	137	103
F5	52	110	80	58	78
FA2H	559	2321	16320	781	2008
FAAH	1745	1819	5783	1613	1913
FABP3	4243	3792	1660	5089	3267
FABP4	30	17	17	0	4
FABP6	95	115	106	79	145
FABP7	4177	3632	1738	3772	3358
FADS2	11103	7679	9934	8617	5014
FADS6	351	241	74	395	192
FAHD2B	793	522	1360	759	865
FAIM2	63163	52554	28644	57641	65037
FAIM3	10	11	16	16	32
FAM100B	841	1269	2088	714	971
FAM102B	3820	2759	1391	4101	3125
FAM107B	1595	4231	29251	1537	3397
FAM109A	370	289	576	308	330
FAM109B	87	53	43	93	62
FAM110A	87	95	98	93	120
FAM110B	1991	1731	1059	1854	2113
FAM110C	43	44	35	41	45
FAM111A	327	195	494	341	330
FAM111B	9	1	16	2	1
FAM115C	94	368	104	97	83
FAM119B	46	81	224	65	95
FAM123C	1867	1384	338	1838	1629
FAM124A	295	583	3073	355	465
FAM124B	32	16	23	20	51
FAM125A	301	377	857	391	404
FAM126B	4176	4228	1369	4219	3461
FAM129A	366	166	146	212	348
FAM129B	2113	2277	1189	1996	1795
FAM131A	7421	7108	2638	6596	7490
FAM131B	8315	7807	8547	8029	7376
FAM134B	3512	4857	8578	4087	3953
FAM13B	5436	3622	2543	5856	4724
FAM151A	0	0	0	0	0
FAM153B	340	261	20	452	159
FAM159A	1	7	13	3	7
FAM163B	2419	2326	479	2026	1386
FAM166A	0	0	5	0	0
FAM166B	12	5	20	3	8
FAM167B	7	14	31	7	14
FAM174A	1525	1510	2032	1334	1669
FAM174B	1262	1311	1176	1097	1226
FAM176A	2	18	20	0	2
FAM176B	57	82	129	76	105
FAM177B	5	1	4	2	0
FAM178B	41	136	1021	30	96
FAM180A	4	19	1	9	4
FAM180B	4	5	4	16	10
FAM181B	994	1262	2986	1215	1437
FAM183A	0	0	0	0	0
FAM184A	1504	1736	457	1792	1310
FAM186A	2	2	13	5	3
FAM186B	2	7	3	2	2
FAM189A1	2314	2918	911	2267	1721
FAM189A2	636	1274	1516	552	711
FAM190A	157	74	11	176	138
FAM196B	253	781	1248	268	199
FAM19A1	2013	1909	235	1775	2065
FAM19A2	4097	1866	309	3953	3718
FAM19A4	47	85	679	49	97
FAM20C	1996	2993	3329	1789	2060
FAM22F	5	0	1	1	1
FAM26E	43	32	33	37	16
FAM26F	44	29	36	54	57
FAM35A	474	538	709	534	484
FAM35B2	29	36	78	28	36
FAM36A	1973	2400	2487	2389	2353
FAM38B	122	306	4027	221	300
FAM3D	0	0	0	0	0
FAM40B	2454	2088	348	2452	1919
FAM46A	202	146	182	151	148
FAM46B	59	31	31	58	27
FAM46C	31	169	41	36	86
FAM49A	3583	3133	765	4073	2781
FAM50B	1281	1015	1705	1398	1367
FAM53A	29	21	244	12	21
FAM54A	6	2	6	5	1
FAM57A	301	758	536	369	343
FAM60A	105	74	130	53	48
FAM64A	3	4	4	5	2
FAM65B	3266	3569	1022	3629	2573
FAM65C	29	31	87	37	29
FAM70A	1066	655	676	1499	1011
FAM70B	23	34	65	18	16
FAM71E1	366	243	160	271	272
FAM72A	4	4	7	5	6
FAM72B	60	58	58	52	50
FAM72D	16	17	25	17	26
FAM73A	3539	3128	4949	3618	2832
FAM75A2	2	9	5	6	0
FAM75A6	0	5	4	0	0
FAM81A	3450	2430	944	3592	3257
FAM81B	1	4	0	3	2
FAM83A	0	0	0	0	0
FAM83C	0	0	0	0	0
FAM83D	74	24	63	75	66
FAM83E	0	0	0	0	2
FAM83H	778	811	333	519	398
FAM84B	467	848	3533	589	863
FAM86A	285	285	525	320	338
FAM89A	298	228	258	265	117
FAM92B	0	0	0	0	0
FAM95B1	90	82	78	139	145
FAM9C	7	3	0	4	0
FANCA	147	240	123	181	220
FANCC	71	73	325	108	84
FANCD2	54	49	97	57	50
FANCE	99	59	233	124	100
FANCG	257	189	410	249	275
FANCI	247	87	278	201	125
FAP	62	45	67	65	48
FASLG	0	0	1	0	2
FAS	159	382	245	271	116
FAU	5208	5221	7730	4740	6139
FBLIM1	132	141	61	115	91
FBLN2	2322	1771	580	1784	1186
FBL	1407	1750	2128	1357	1750
FBN2	24	19	21	55	29
FBN3	33	60	39	41	52
FBP1	65	46	86	50	23
FBXL13	10	19	9	18	8
FBXL15	1268	1399	848	1473	1653
FBXL16	51499	39174	7926	40024	34692
FBXL21	20	14	0	25	31
FBXL2	2597	1704	793	2901	2570
FBXO16	178	199	130	231	239
FBXO24	8	4	22	4	8
FBXO27	1383	644	820	1286	1111
FBXO2	8429	7596	5873	9542	8387
FBXO30	587	802	602	513	555
FBXO34	4150	3108	1282	3725	3906
FBXO39	0	0	0	1	1
FBXO40	168	81	41	199	188
FBXO41	11555	8460	2004	11067	7639
FBXO43	0	1	7	7	0
FBXO44	7926	7444	3875	7985	8238
FBXO4	192	149	252	170	191
FBXO5	131	128	213	94	98
FBXO8	443	487	926	479	511
FBXW10	0	2	0	3	1
FBXW7	8915	9015	3000	8630	9169
FBXW8	463	455	756	501	318
FCAMR	0	0	0	0	0
FCAR	3	6	5	2	12
FCER1A	1	1	0	2	3
FCER1G	387	503	643	181	396
FCER2	57	841	575	138	6
FCGBP	2140	3540	716	571	493
FCGR1C	119	177	209	37	176
FCGR2A	708	743	616	395	607
FCGR2B	43	9	10	20	10
FCGR2C	21	7	10	10	10
FCGR3A	2862	2268	2378	974	1438
FCGR3B	6	23	10	9	31
FCGRT	1792	1183	1647	1414	1650
FCHO1	1446	1489	6708	1584	1702
FCHSD2	2363	2822	3664	2265	2611
FCN3	0	2	0	4	0
FCRL1	0	0	0	0	0
FCRL5	0	0	0	0	0
FCRL6	1	5	0	3	4
FCRLA	11	20	28	20	13
FDPSL2A	0	1	1	0	2
FDXACB1	131	122	218	135	165
FDXR	411	401	805	490	356
FER1L6	14	75	9	19	6
FERMT1	129	120	328	178	191
FERMT3	375	458	358	164	381
FETUB	1	0	4	2	2
FEV	1	2	0	2	2
FEZF2	651	1031	457	642	642
FFAR1	0	8	58	0	3
FGD2	471	131	232	141	159
FGD3	230	98	157	170	126
FGF11	321	656	614	309	312
FGF13	4009	2938	1244	3692	3378
FGF20	6	1	16	9	2
FGF22	17	10	21	30	23
FGF9	602	428	101	804	705
FGFBP2	4	11	9	5	9
FGFBP3	264	154	278	264	248
FGFR2	3042	4830	24906	3621	5190
FGFR4	14	37	29	19	17
FHAD1	89	374	53	107	28
FHDC1	70	103	47	43	46
FHL1	9420	8867	4683	9789	10619
FHL2	1226	849	271	1541	1237
FHL3	447	567	581	475	453
FHL5	54	61	39	66	66
FIBIN	1152	792	1249	1255	1175
FIGF	13	19	68	25	19
FIGN	119	117	192	144	75
FILIP1L	768	593	145	449	591
FILIP1	583	288	192	408	571
FITM1	2	2	17	4	7
FJX1	1265	1591	480	1481	1499
FKBP10	1037	1084	1208	1046	1038
FKBP14	222	234	170	265	178
FKBP1B	1266	1003	457	1069	1326
FKBP5	4137	1829	2149	1020	640
FKBP6	0	0	0	0	0
FKBP7	36	49	160	73	71
FKBP9L	32	45	46	27	37
FLJ10357	1576	2892	2866	1869	1798
FLJ12825	2	1	10	4	8
FLJ32063	193	53	71	176	156
FLJ34503	2	0	0	3	2
FLJ35390	943	698	1325	1078	943
FLJ35776	37	51	137	59	56
FLJ36031	227	375	225	203	236
FLJ37201	12	13	46	12	9
FLJ39653	47	54	200	56	54
FLJ40330	169	69	43	234	233
FLJ40852	14	24	15	47	44
FLJ42875	602	462	212	616	583
FLJ44606	17	33	22	27	18
FLJ46111	0	0	0	0	0
FLNA	4447	7128	4404	5548	4810
FLRT2	3669	2236	817	3452	3478
FLRT3	1624	889	556	1554	1538
FLT3LG	42	61	150	34	48
FLT4	96	111	99	132	112
FLVCR2	163	62	115	78	46
FMN1	63	40	1	117	49
FMNL1	2743	3135	924	2404	2517
FMO1	1	0	1	2	2
FMO2	49	3	60	83	21
FMO3	28	14	34	19	12
FMO5	52	23	115	56	41
FMOD	343	276	80	349	131
FN1	6768	7095	2694	6221	5096
FNDC1	28	9	1	33	14
FNDC3B	576	786	358	420	395
FNDC7	6	0	16	4	2
FOLH1	208	1429	7581	385	1246
FOLR1	17	3	3	11	8
FOLR2	587	215	201	239	396
FOLR3	0	0	1	0	0
FOSB	4390	4885	578	1203	5450
FOXA1	0	2	1	0	0
FOXA2	0	0	0	0	0
FOXA3	0	0	2	0	0
FOXD2	15	1	5	11	4
FOXD3	1	0	0	0	0
FOXD4L3	2	0	0	6	9
FOXD4L6	109	21	8	98	149
FOXE1	0	0	0	0	0
FOXJ1	51	71	99	82	39
FOXL2	8	14	21	9	18
FOXM1	49	64	97	51	58
FOXN4	4	1	3	3	2
FOXR1	0	0	0	0	0
FOXS1	14	38	87	37	28
FPR1	596	780	325	142	760
FPR2	12	7	0	0	5
FPR3	15	26	32	22	83
FRAS1	1160	753	262	1410	940
FREM1	105	57	36	100	168
FREM2	342	122	164	383	261
FRMD4B	422	1238	7234	534	1172
FRMPD2L1	41	61	19	61	27
FRMPD2	111	142	52	170	194
FRMPD4	3034	2248	406	3044	1847
FRRS1	0	0	0	1	1
FSCN3	0	0	0	0	1
FSD2	0	0	0	0	0
FSTL1	2003	2100	1919	1794	1520
FSTL4	2080	2269	272	2032	1388
FSTL5	2017	1454	368	2366	1815
FST	10	36	16	13	8
FUNDC2P2	1	2	4	4	2
FUT1	354	129	57	297	270
FUT3	4	3	0	1	0
FUT5	3	2	1	2	2
FUT6	0	0	1	0	0
FXYD1	2076	2013	1563	1924	2094
FXYD2	1	2	1	1	3
FXYD4	0	2	71	2	3
FXYD5	268	481	387	307	309
FXYD7	3893	2739	1206	3830	4094
FYB	946	150	502	345	335
FYN	8101	7220	9284	7403	8867
FZD2	80	43	64	52	52
FZD7	347	313	246	316	261
G3BP2	17536	18428	9300	17283	16259
G6PC2	3	2	0	0	0
G6PC3	1907	1814	3304	2103	1903
G6PC	0	0	0	0	0
GAA	2799	2114	4355	2722	2910
GAB3	126	104	170	98	108
GABARAPL1	22768	28884	11115	24741	26771
GABBR2	19033	14456	2812	17992	15096
GABRA1	13577	12167	2362	14872	13083
GABRA2	4263	3436	720	4224	2615
GABRA3	2701	2145	511	2622	1999
GABRA4	5870	3562	684	5659	4618
GABRA5	8209	8454	2948	8285	7381
GABRB1	519	536	79	721	300
GABRB2	12551	6478	1474	13066	9738
GABRB3	12568	8232	2382	11839	11424
GABRD	6341	5464	922	5692	5184
GABRG1	5127	3002	2032	4746	4367
GABRG2	9493	14729	1975	9798	9468
GABRG3	115	151	42	112	41
GABRR1	0	0	0	0	0
GABRR2	0	0	4	0	2
GAD1	10438	10512	2416	14167	11127
GAD2	2216	2566	715	3075	2065
GADD45G	1043	290	169	280	624
GAL3ST2	8	0	4	20	3
GAL3ST4	342	351	466	498	627
GALK1	309	259	853	298	307
GALM	187	190	216	190	195
GALNT10	1097	1403	1901	1083	897
GALNT13	1753	1281	1745	1517	1454
GALNT14	556	1219	290	602	641
GALNT1	2036	2174	2180	1901	2133
GALNT5	0	0	1	0	0
GALNT6	178	471	4514	158	643
GALNT8	9	6	6	2	7
GALNT9	4225	3706	1119	4088	4203
GALNTL2	2872	1879	10996	2322	1595
GALNTL4	2624	2413	664	2295	2121
GALNTL5	55	91	155	77	44
GALNTL6	274	502	47	243	151
GALR1	25	56	26	21	16
GALR3	0	0	1	1	0
GAPT	10	10	21	14	5
GARNL3	2510	1704	2047	2371	2693
GART	1249	1275	1793	1488	1343
GAS1	141	181	670	145	170
GAS2L3	17	12	2	14	3
GAS5	948	957	1577	974	1274
GAS7	38903	35984	40024	38630	32491
GAST	0	0	0	0	0
GATA1	0	0	0	0	1
GATA2	208	260	110	185	139
GATA3	2	0	0	0	1
GATA4	0	0	0	0	0
GATA5	0	0	0	0	0
GATA6	3	0	0	2	4
GATAD2A	1516	1685	1550	1491	1563
GATSL3	690	340	298	271	385
GBAS	3452	2628	2447	3314	3229
GBE1	639	799	469	616	579
GBGT1	119	119	147	94	85
GBP1	407	595	399	212	354
GBP2	294	678	210	274	416
GBP3	160	291	340	115	114
GBP4	465	496	355	565	482
GBP5	28	23	3	28	24
GBP6	10	6	1	0	2
GBP7	0	0	0	0	0
GBX2	5	2	3	0	0
GCC2	5046	4293	2072	5354	3741
GCGR	0	0	0	0	0
GCKR	1	7	8	5	5
GCM1	0	0	1	0	0
GCM2	0	0	0	0	0
GCNT1	487	878	98	482	297
GCNT2	171	146	183	203	220
GCNT3	0	0	0	0	0
GCNT4	204	158	63	266	235
GDAP1	7911	7314	2915	8261	7880
GDA	16609	14020	5118	16972	13445
GDF15	32	67	25	15	12
GDF5	7	31	12	11	8
GDF9	49	25	79	52	44
GDNF	0	5	10	0	0
GDPD2	373	292	348	284	298
GDPD3	3	10	57	11	29
GDPD4	0	0	0	0	0
GEMIN6	190	111	261	149	203
GEM	304	1137	376	254	944
GFI1B	0	0	0	0	0
GFI1	1	6	7	2	5
GFOD1	1395	954	229	1347	709
GFRA2	1837	1714	268	1887	1570
GFRA4	6	0	0	2	4
GGT5	971	856	1242	621	374
GGTA1	873	564	1022	790	1026
GHRLOS	11	8	14	12	10
GIMAP2	163	49	158	79	71
GINS1	210	171	153	166	174
GINS2	31	63	174	33	44
GINS3	85	228	288	100	123
GINS4	32	46	269	30	40
GIPC3	74	103	166	57	39
GIPR	6	29	333	10	4
GJA3	1	0	7	0	0
GJA4	49	140	120	55	172
GJB1	226	1123	10386	508	1327
GJB3	50	15	4	34	26
GJB5	26	179	26	31	26
GJB6	4493	1113	478	3341	3087
GJC1	244	410	225	248	266
GJC2	300	1100	7751	415	1129
GJC3	0	1	10	2	3
GJD4	17	16	2	19	13
GK2	0	0	0	0	0
GLB1L2	254	121	63	254	126
GLB1L3	114	84	34	171	114
GLB1L	151	121	195	139	145
GLCCI1	1177	1647	838	1296	1275
GLDC	959	1182	388	1129	741
GLDN	930	1934	21418	1044	2203
GLI2	82	142	69	94	49
GLIPR1L1	0	0	0	1	0
GLIPR2	392	1284	3652	388	646
GLIS2	804	1535	672	865	632
GLIS3	698	631	713	510	380
GLP2R	311	987	23	138	72
GLRA2	1111	608	307	1193	1143
GLRB	5249	3939	1601	5274	5354
GLS2	1615	1146	342	1661	1436
GLS	15543	16904	4411	18470	14776
GLT1D1	3182	2707	931	3212	2530
GLTSCR2	4105	3687	5387	3661	4254
GLYATL2	5	11	11	7	15
GLYAT	0	0	0	0	0
GLYCTK	60	54	150	82	64
GMCL1L	0	1	0	5	4
GMFG	228	175	350	171	223
GMNN	524	169	364	245	245
GMPR	375	483	303	525	393
GNA12	4411	5476	5845	4007	4066
GNA13	2743	2667	4156	2500	2798
GNAI1	4019	5392	16084	4319	5366
GNAI2	7885	7792	14104	7620	8957
GNAI3	1497	1750	2352	1511	1714
GNAL	3323	1857	547	2973	3026
GNAO1	21910	21120	29660	22040	21539
GNASAS	0	1	2	0	0
GNAZ	5346	4880	5294	4943	5018
GNB2L1	8950	9044	11067	8435	10149
GNB2	6847	7001	5699	6411	6734
GNB3	43	52	38	129	111
GNB4	2399	2944	1640	2106	2250
GNB5	4764	3977	1248	5081	4485
GNG11	473	668	523	544	667
GNG12	1312	1741	1750	1422	1212
GNG13	288	183	16	228	169
GNG3	10683	7318	2906	10587	11359
GNG5	531	882	998	547	764
GNGT2	21	17	27	11	14
GNLY	2	10	76	7	10
GNRH1	8	21	43	10	20
GOLGA2B	55	29	97	59	40
GOLGA6L1	26	8	0	16	25
GOLGA6L5	39	54	21	75	43
GOLGA6L6	67	18	0	11	48
GOLIM4	2528	2188	1722	2377	1661
GOLM1	9192	11067	4576	9934	8522
GORAB	263	314	447	296	328
GOT1	13485	13335	6589	14614	15601
GOT2	9888	10619	8380	10375	10054
GPAT2	42	124	381	358	124
GPBAR1	6	1	0	1	2
GPC1	7625	6444	4713	7802	6014
GPC2	54	59	261	70	73
GPC3	23	24	15	62	24
GPC5	1192	806	299	1070	786
GPC6	294	319	310	346	205
GPI	25072	29251	11542	25417	26875
GPR109B	1	1	0	0	1
GPR115	3	10	6	2	3
GPR126	202	128	78	108	67
GPR128	0	0	0	0	0
GPR12	1536	983	496	1576	1165
GPR137C	1905	1485	1130	1737	1961
GPR141	0	0	0	0	0
GPR143	169	91	86	134	127
GPR149	12	9	1	10	10
GPR150	25	26	19	22	21
GPR152	0	0	0	0	0
GPR157	0	1	0	2	0
GPR160	85	40	80	38	55
GPR161	235	109	128	235	146
GPR171	3	1	1	1	2
GPR172A	1002	1097	1315	912	1053
GPR172B	6	1	1	5	4
GPR174	0	1	0	0	0
GPR176	1251	1862	345	1191	815
GPR179	479	218	205	560	235
GPR18	0	0	0	0	2
GPR21	121	47	18	88	82
GPR22	1530	1214	396	1232	1223
GPR26	1972	2140	138	1432	1234
GPR31	0	0	0	0	0
GPR34	1397	322	752	607	651
GPR37	1553	5054	40604	2281	4721
GPR39	15	31	14	14	29
GPR50	0	0	0	0	0
GPR52	30	53	22	41	81
GPR56	11812	16351	9971	10961	8979
GPR61	566	375	139	553	429
GPR62	181	688	4184	276	678
GPR63	123	64	20	117	63
GPR65	17	13	40	14	22
GPR68	492	1432	180	676	416
GPR6	223	66	28	391	315
GPR78	12	10	6	21	4
GPR81	6	3	4	11	5
GPR82	0	0	0	1	0
GPR83	2391	983	416	1895	1786
GPR84	7	69	28	9	39
GPR88	1051	194	152	729	779
GPR97	1	10	3	7	10
GPRASP1	13391	12241	4870	15148	13896
GPRASP2	6675	4653	2474	7153	5859
GPRIN2	89	41	16	92	65
GPSM3	449	239	466	287	343
GPX1	5548	4316	3209	3961	5325
GPX3	969	788	365	1418	977
GPX7	134	100	172	112	94
GPX8	41	31	43	13	13
GRAMD1B	2131	1785	346	2308	1251
GRAMD3	1938	1798	3082	1913	2143
GRAP2	6	3	2	1	13
GRAPL	0	1	0	0	0
GRAP	76	91	115	95	80
GRASP	2335	4411	644	2229	1975
GREM1	178	1035	2419	400	660
GREM2	1359	2373	300	1426	1190
GRHL3	5	87	72	4	3
GRID2IP	37	21	28	33	26
GRID2	181	85	148	221	89
GRIK1	1551	1064	474	1764	1674
GRIN1	41507	30889	6274	37369	36669
GRIN2A	11596	9729	1546	11140	9277
GRIN2B	517	491	65	704	525
GRIN2C	2215	2728	1857	2408	2660
GRIN3A	2551	1859	407	2893	2113
GRIN3B	0	0	0	0	0
GRIP1	499	499	145	673	407
GRK7	0	0	0	0	0
GRM1	2965	1507	391	3070	2244
GRM2	1258	1971	225	1333	1186
GRM3	4928	5269	15096	5401	6444
GRM4	552	1520	137	529	470
GRM5	7067	3336	1291	7087	4876
GRM7	1511	772	164	1450	1118
GRM8	556	346	97	492	302
GRN	3761	2524	4775	3601	3751
GRTP1	62	59	48	62	33
GSC	0	0	0	0	0
GSDMA	23	0	4	2	0
GSDMC	5	9	27	4	4
GSDMD	370	335	361	378	421
GSG2	1	8	9	3	0
GSTK1	1261	900	1570	1214	1249
GSTO2	138	191	179	224	216
GSTP1	3337	3354	6322	3095	4302
GSX1	0	0	0	2	0
GSX2	7	1	2	7	3
GTF2H2B	148	25	101	19	38
GTF2IRD2B	136	229	592	211	205
GTSE1	5	10	20	7	3
GTSF1	2	2	0	2	1
GUCA1A	80	76	21	96	128
GUCY1A3	5878	2572	1289	4840	4646
GUCY1B2	0	0	0	0	0
GUCY1B3	8812	6866	2041	8964	8040
GUCY2F	0	0	0	0	0
GUSB	522	551	1526	591	681
GVIN1	39	31	2	48	36
GYG2	632	463	902	594	386
GYLTL1B	0	1	2	0	1
GYPC	207	157	408	227	513
GYS2	2	0	5	0	2
GZMA	3	0	0	5	6
GZMB	2	7	5	3	5
GZMH	0	2	1	2	1
GZMK	1	4	7	2	1
GZMM	3	2	5	1	2
H19	61	25	18	30	19
H1F0	6142	4263	4250	6824	5804
H2AFY2	676	697	491	605	692
HAAO	62	36	79	31	30
