TCGA-76-4925-01A-01R-1850-01	TCGA-06-0649-01B-01R-1849-01	TCGA-14-1034-01A-01R-1849-01	TCGA-26-5136-01B-01R-1850-01	TCGA-06-5412-01A-01R-1849-01	TCGA-76-4931-01A-01R-1850-01	TCGA-28-5216-01A-01R-1850-01	TCGA-06-2565-01A-01R-1849-01	TCGA-32-1982-01A-01R-1850-01	TCGA-06-0184-01A-01R-1849-01	TCGA-06-0878-01A-01R-1849-01	TCGA-06-0646-01A-01R-1849-01	TCGA-27-1835-01A-01R-1850-01	TCGA-14-1823-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01	TCGA-06-0745-01A-01R-1849-01	TCGA-12-3653-01A-01R-1849-01	TCGA-32-2615-01A-01R-1850-01	TCGA-28-5213-01A-01R-1850-01	TCGA-06-0157-01A-01R-1849-01	TCGA-06-5858-01A-01R-1849-01	TCGA-16-0846-01A-01R-1850-01	TCGA-32-2632-01A-01R-1850-01	TCGA-06-0190-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01	TCGA-06-0211-01A-01R-1849-01	TCGA-28-5204-01A-01R-1850-01	TCGA-14-0871-01A-01R-1849-01	TCGA-26-5132-01A-01R-1850-01	TCGA-06-2557-01A-01R-1849-01	TCGA-28-5209-01A-01R-1850-01	TCGA-26-5133-01A-01R-1850-01	TCGA-27-2528-01A-01R-1850-01	TCGA-06-0882-01A-01R-1849-01	TCGA-14-0817-01A-01R-1849-01	TCGA-32-5222-01A-01R-1850-01	TCGA-12-0619-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01	TCGA-06-0211-01B-01R-1849-01	TCGA-06-0129-01A-01R-1849-01	TCGA-12-3652-01A-01R-1849-01	TCGA-06-2569-01A-01R-1849-01	TCGA-06-5414-01A-01R-1849-01	TCGA-27-1834-01A-01R-1850-01	TCGA-02-0047-01A-01R-1849-01	TCGA-27-1831-01A-01R-1850-01	TCGA-76-4926-01B-01R-1850-01	TCGA-06-0219-01A-01R-1849-01	TCGA-14-0781-01B-01R-1849-01	TCGA-14-0790-01B-01R-1849-01	TCGA-06-0644-01A-02R-1849-01	TCGA-28-5208-01A-01R-1850-01	TCGA-28-5207-01A-01R-1850-01	TCGA-15-1444-01A-02R-1850-01	TCGA-02-0055-01A-01R-1849-01	TCGA-06-0645-01A-01R-1849-01	TCGA-02-2483-01A-01R-1849-01	TCGA-12-5299-01A-02R-1849-01	TCGA-27-1832-01A-01R-1850-01	TCGA-06-5856-01A-01R-1849-01	TCGA-32-4213-01A-01R-1850-01	TCGA-06-5417-01A-01R-1849-01	TCGA-27-2524-01A-01R-1850-01	TCGA-14-1829-01A-01R-1850-01	TCGA-06-0749-01A-01R-1849-01	TCGA-06-5411-01A-01R-1849-01	TCGA-28-1747-01C-01R-1850-01	TCGA-12-1597-01B-01R-1849-01	TCGA-41-4097-01A-01R-1850-01	TCGA-06-0187-01A-01R-1849-01	TCGA-28-2509-01A-01R-1850-01	TCGA-06-5418-01A-01R-1849-01	TCGA-27-2526-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01	TCGA-12-5295-01A-01R-1849-01	TCGA-26-5134-01A-01R-1850-01	TCGA-12-0821-01A-01R-1849-01	TCGA-27-2521-01A-01R-1850-01	TCGA-76-4929-01A-01R-1850-01	TCGA-19-4065-01A-01R-2005-01	TCGA-32-1970-01A-01R-1850-01	TCGA-06-0174-01A-01R-1849-01	TCGA-14-0789-01A-01R-1849-01	TCGA-14-0787-01A-01R-1849-01	TCGA-06-0132-01A-02R-1849-01	TCGA-28-5220-01A-01R-1850-01	TCGA-28-2510-01A-01R-1850-01	TCGA-06-5410-01A-01R-1849-01	TCGA-06-2559-01A-01R-1849-01	TCGA-15-0742-01A-01R-1850-01	TCGA-06-0747-01A-01R-1849-01	TCGA-19-1390-01A-01R-1850-01	TCGA-19-2619-01A-01R-1850-01	TCGA-06-0743-01A-01R-1849-01	TCGA-32-2616-01A-01R-1850-01	TCGA-28-2513-01A-01R-1850-01	TCGA-06-2562-01A-01R-1849-01	TCGA-41-2571-01A-01R-1850-01	TCGA-28-1753-01A-01R-1850-01	TCGA-06-0158-01A-01R-1849-01	TCGA-19-2629-01A-01R-1850-01	TCGA-76-4932-01A-01R-1850-01	TCGA-06-2564-01A-01R-1849-01	TCGA-14-2554-01A-01R-1850-01	TCGA-26-1442-01A-01R-1850-01	TCGA-12-0618-01A-01R-1849-01	TCGA-06-0238-01A-02R-1849-01	TCGA-06-5415-01A-01R-1849-01	TCGA-06-0141-01A-01R-1849-01	TCGA-26-5139-01A-01R-1850-01	TCGA-14-1825-01A-01R-1850-01	TCGA-27-1830-01A-01R-1850-01	TCGA-06-5413-01A-01R-1849-01	TCGA-06-0744-01A-01R-1849-01	TCGA-06-2563-01A-01R-1849-01	TCGA-06-0125-01A-01R-1849-01	TCGA-19-5960-01A-11R-1850-01	TCGA-32-1980-01A-01R-1850-01	TCGA-06-5859-01A-01R-1849-01	TCGA-12-0616-01A-01R-1849-01	TCGA-06-2567-01A-01R-1849-01	TCGA-06-0156-01A-03R-1849-01	TCGA-06-0130-01A-01R-1849-01	TCGA-06-0686-01A-01R-1849-01	TCGA-27-1837-01A-01R-1850-01	TCGA-32-2634-01A-01R-1850-01	TCGA-06-5408-01A-01R-1849-01	TCGA-19-2624-01A-01R-1850-01	TCGA-06-0178-01A-01R-1849-01	TCGA-28-5215-01A-01R-1850-01	TCGA-27-2523-01A-01R-1850-01	TCGA-12-3650-01A-01R-1849-01	TCGA-28-5218-01A-01R-1850-01	TCGA-06-0168-01A-01R-1849-01	TCGA-06-0750-01A-01R-1849-01	TCGA-06-1804-01A-01R-1849-01	TCGA-76-4927-01A-01R-1850-01	TCGA-06-0138-01A-02R-1849-01	TCGA-02-2486-01A-01R-1849-01	TCGA-28-2499-01A-01R-1850-01	TCGA-19-1787-01B-01R-1850-01	TCGA-06-2561-01A-02R-1849-01	TCGA-19-2620-01A-01R-1850-01	TCGA-06-5416-01A-01R-1849-01	TCGA-06-0210-01A-01R-1849-01	TCGA-27-2519-01A-01R-1850-01	TCGA-28-2514-01A-02R-1850-01	TCGA-08-0386-01A-01R-1849-01	TCGA-16-1045-01B-01R-1850-01	TCGA-41-5651-01A-01R-1850-01	TCGA-76-4928-01B-01R-1850-01	TCGA-06-0156-01A-02R-1849-01	TCGA-19-2625-01A-01R-1850-01	TCGA-32-2638-01A-01R-1850-01	TCGA-41-3915-01A-01R-1850-01	TCGA-26-5135-01A-01R-1850-01
GNGT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	4206	0	0	0	0	0	0	0	0	0	0	0	3	0	444	0	20	0	0	0	0	6	0	4	0	1	0	167	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	521	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM27B	0	0	0	0	4	0	40	0	0	0	0	0	0	0	15	0	0	18	0	0	27	0	10	0	0	0	0	0	40	0	0	0	0	0	0	45	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	85	0	0	0	0	0	0	62	0	50	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	56	0	0	0	0	91	0	18	0	0	0	0	41	0	0	0	2	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	34	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	167	0	72	0	0	0	0	0	0	34	0	0	31
KRT6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	1	0	3	0	0	0
LBP	3	0	26	0	3	0	0	0	0	96	206	122	1	1556	1	0	0	10	287	221	72	0	10	60	2	154	6	8	58	110	141	0	0	0	35	2	44	0	0	0	5	9	0	1	0	4	0	0	3	16	53	1	0	0	123	55	0	10	116	4	14	10	10	34	0	0	3	5	0	81	1	5	3	662	0	0	36	0	0	1	12	0	8	0	286	29	0	119	8	0	0	0	0	99	4	43	0	0	3	0	3	0	1	54	1	2	20	0	4	8	0	175	0	0	0	3	2	4	1	0	11	2271	59	1	0	0	0	0	0	0	0	0	1	268	5	54	18	0	58	4	3	0	4	0	49	8	0	47	194	5	0	2053	135	0	0	2
OR7C2	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN19	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	7	7	0	0	0	2	0	1	0	0	0	0	0	0	1	34	0	0	4	2	0	0	4	0	5	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	0	2	0	7	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	7	2	0	15	0	0	0	0	0
LRRC15	27	90	33	12	9	69	230	0	0	8	112	47	4	1	10	0	0	18	18	17	10	27	1	633	52	132	8	0	3	4	38	6	7	14	1	48	32	15	12	2	45	11	18	57	217	0	16	10	70	11	1871	9	5	5	5408	63	13	99	21	7	119	29	250	20	2	7	3	1	170	107	34	87	6	1	14	3	10	1	51	66	1	95	1285	43	19	6	10	97	26	18	2	14	82	12	22	36	27	52	113	27	18	170	40	2	2	45	13	2	7	301	87	136	23	8	1	36	6	11	0	7	5	56	3332	68	14	19	29	5	4	1251	0	2	52	52	57	3	167	3	174	4	50	35	102	31	30	20	3	36	19	10	24	97	27	6	370	37
SNORA23	0	0	0	0	2	0	0	0	0	0	3	0	5	0	0	9	17	0	0	3	0	0	1	1	0	9	3	6	0	2	0	3	0	0	1	1	0	1	0	0	6	0	8	0	0	7	0	26	0	5	3	0	5	0	0	1	1	17	0	0	229	40	0	1	0	0	0	23	0	6	11	1	23	5	47	947	3	5	0	0	0	2	0	0	0	6	0	8	0	0	0	0	0	1	0	0	0	130	0	0	4	3	0	1	0	2	8	0	0	1	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	16	0	0	5	1	0	13	0	3	2	0	0	0	9	0	1	1	1	2	0	2	0	0	0	4	1	51	3
MMP12	0	11	53	0	0	0	2	7	0	0	53	1	0	0	0	7	0	83	14	5	0	0	0	8	1	56	2	12	1	0	0	0	0	10	2	6	1	20	3	0	13	0	15	2	0	0	1	27	6	2	355	1	1	0	9	0	933	3	0	148	3	30	19	0	0	20	0	2	500	5	8	12	0	1	0	0	0	146	49	31	0	42	56	0	1	0	1	48	0	0	0	76	0	2	0	1	0	10	10704	0	0	0	0	0	0	195	1	0	1121	0	4	10	18	0	0	27	0	2	0	1	34	18	115	51	0	10	1	0	1695	0	0	9	0	0	5	0	0	8	3	0	0	2	0	59	54	44	0	1	20	69	8	52	0	3	54	11
SEMG2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SLC22A6	0	7	21	5	3	4	37	0	1	0	0	19	28	0	5	0	0	4	6	6	2	37	2	0	49	0	0	1	0	0	3	3	352	35	13	1	1	5	0	5	0	2	0	34	41	0	37	11	1	28	0	0	16	96	0	0	1	2	22	0	4	1	4	10	88	14	31	11	7	4	2	0	6	5	14	0	6	70	49	0	0	2	0	13	21	8	22	33	0	0	0	3	13	17	3	0	1	6	5	0	30	6	1	1	14	3	4	12	14	1	9	2	20	0	1	0	22	18	29	0	8	1	0	3	2	13	0	0	113	9	0	0	0	21	6	1	7	4	8	2	6	31	5	7	0	7	12	2	1	8	2	4	1	1	0	3
GLRA1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	895	1	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	9	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
CCL20	15	118	153	17	209	117	89	8	2	43	473	0	1	752	4	66	31	136	1331	25	14	7	5	489	20	1655	3	48	14	12	22	2	2	73	18	64	60	17	14	3	111	15	310	2	13	97	14	39	135	0	135	7	1	7	2342	567	158	166	307	52	85	12	238	56	9	40	11	1	50	295	80	332	0	66	11	30	14	6	10	114	3	13	946	60	209	2	25	1609	13	73	1	20	84	77	3	392	188	6	2	12	13	64	21	149	5	9	23	3	169	339	3	16	29	8	2	22	2	35	3	12	6	908	28	23	7	2	144	8	19	29	9	0	60	112	125	0	41	197	28	20	0	19	64	3	275	70	5	3	187	8	151	804	183	72	78	7
IL1F8	4	0	0	4	4	1	0	0	0	0	16	0	0	1	0	3	0	38	5	0	6	0	0	7	4	16	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	4	0	4	0	1	1	18	0	11	0	0	0	16	6	3	0	0	0	3	0	7	20	0	3	0	0	7	25	0	0	0	0	0	0	3	0	2	0	0	2	193	2	0	6	0	17	0	1	0	1	2	1	1	45	9	0	0	0	0	2	0	1	1	0	0	0	2	3	0	2	2	0	0	0	3	3	0	0	2	16	0	0	0	0	1	0	0	1	0	2	3	0	2	0	2	4	46	0	0	0	21	0	28	0	0	6	0	3	5	47	2	3	1	2
IL8	713	2078	1336	370	6404	5856	2540	425	382	876	16054	4768	39	4319	705	3477	121	10480	31829	844	381	39	98	7309	1501	27390	102	999	333	61	627	14	351	4336	1693	1667	593	4784	409	43	4887	209	6675	12	1306	2591	686	3036	7996	108	4327	319	168	279	14523	24100	1943	2707	5529	1670	1459	177	7385	2888	331	1248	20	570	3310	11502	799	3556	92	542	235	273	403	399	354	5859	29	1541	26178	3074	10522	36	2541	45713	958	1202	377	470	1426	5309	134	8327	10027	2443	779	710	30	2611	262	13896	22	801	4744	62	3212	10027	317	1799	2742	285	369	1172	58	3843	74	210	1611	102941	237	802	38	153	1473	684	730	429	454	533	679	2930	2336	22	1228	9952	2198	258	9	405	2015	203	15910	6454	1022	1031	3168	199	2465	57641	1335	2167	3811	1697
SYCE1	0	8	0	0	12	16	2	0	6	20	0	1	2	0	9	8	1	12	9	0	1	22	3	0	10	0	0	40	2	3	0	0	4	34	6	2	2	22	5	22	0	0	0	3	61	0	39	49	0	3	16	1	16	0	0	5	36	11	0	0	0	2	7	1	68	176	7	3	31	0	0	1	1	0	5	0	1	11	1	2	1	0	0	0	102	0	226	7	2	2	6	0	2	4	2	2	22	0	0	38	0	0	8	22	43	0	10	68	29	15	1	1	2	19	20	8	24	163	3	0	0	5	0	27	9	1	0	20	47	1	7	8	2	20	0	11	0	0	8	0	0	15	6	2	3	0	13	2	0	2	0	1	1	3	0	0
NBPF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH6	0	4	24	6	4	0	0	2	0	1	2	2	2	1	0	1	13	7	7	0	19	1	3	0	4	3	4	0	2	0	12	19	1	1	2	1	7	0	4	5	7	11	0	11	2	0	4	0	2	7	0	11	2	9	0	0	3	5	0	5	0	10	1	2	3	3	1	2	2	4	8	4	0	1	5	10	0	0	9	2	8	12	3	0	0	6	2	0	0	12	7	4	11	0	15	4	4	8	8	6	7	8	0	17	3	14	0	0	0	6	2	4	6	2	1	5	15	3	4	2	5	0	0	0	4	1	1	6	0	10	8	13	0	0	0	20	4	0	0	11	18	2	7	4	0	8	4	9	2	24	2	1	0	4	2	10
G6PC2	4	0	0	4	11	0	0	2	2	2	0	0	1	0	0	10	0	0	0	1	3	5	2	0	0	0	0	0	0	4	2	0	0	0	0	5	45	2	0	10	2	0	0	1	0	0	0	0	0	1	0	2	2	13	0	0	9	0	0	2	2	0	0	0	0	6	0	16	0	1	0	0	0	6	2	2	0	12	0	8	3	8	1	0	0	2	2	0	3	4	0	2	3	1	2	10	0	20	0	3	30	0	0	0	5	0	0	0	0	0	3	3	0	0	2	1	0	0	3	0	0	1	0	6	11	29	1	5	1	0	2	2	1	0	0	0	2	1	0	0	1	1	0	26	0	1	7	0	0	0	0	2	0	0	0	2
SERPINB3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
CACNG2	2	0	1	1	9	22	0	0	2	0	1	5	3	0	11	2	3	6	0	8	0	25	2	0	43	0	0	0	2	3	0	0	3	13	3	0	9	3	19	15	1	0	0	5	14	1	29	1	0	0	0	2	105	1	9	7	39	13	0	72	2	0	4	0	44	98	15	162	7	3	0	0	0	1	0	5	0	0	3	2	26	178	4	3	56	0	246	4	28	10	9	0	28	1	0	0	9	117	5	5	1	4	5	1	112	138	39	12	2	11	13	0	0	5	26	0	44	90	0	1	2	1	0	9	8	4	55	40	11	9	1	2	0	41	2	11	0	4	0	0	0	17	6	33	0	10	43	11	17	49	0	2	0	3	0	303
HTR2C	0	3	0	1	9	8	8	1	0	0	2	5	4	8	1	0	0	7	0	0	0	24	2	0	7	0	6	57	2	2	5	53	2	15	17	16	0	20	11	8	2	2	0	4	13	4	21	10	0	4	1	6	31	11	6	83	6	12	0	2	0	5	3	1	79	73	35	6	49	0	1	15	0	1	0	7	12	4	0	0	4	10	1	12	87	0	108	1	10	0	0	1	3	0	0	0	7	29	4	10	0	5	15	13	18	6	26	37	0	84	4	0	0	3	9	10	21	212	7	3	1	9	0	35	18	6	0	11	16	0	4	16	0	26	0	6	3	8	1	1	0	30	9	0	0	0	78	5	0	42	1	10	0	10	0	2
GABRR1	1	0	4	7	2	0	0	0	34	0	12	3	4	0	0	2	0	0	0	8	10	0	15	27	5	1	6	1305	0	4	20	28	0	0	0	13	4	4	0	2	2	372	22	0	16	6	0	4	1	0	21	1	0	0	20	10	15	3	3	3	44	0	1	0	0	18	0	5	4	10	6	5	0	0	0	0	6	1	0	4	1	4	0	12	2	0	0	0	3	3	0	0	9	3	0	0	5	0	4	1	2	17	1	2	0	1	0	0	0	9	0	2	2	1	6	0	0	1	3	0	0	5	6	1	115	3	4	7	0	0	6	0	176	0	3	0	0	5	0	0	0	0	1	0	16	1	1	9	0	0	12	5	8	7	0	7
COMP	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	21	0	163	0	1	1610	2	0	0	12	0	0	0	0	2	0	0	0	9	0	2	0	10	168	0	1	7	0	0	0	0	0	5	0	0	6	6794	0	0	4	8	0	0	0	0	0	2	0	3	6	4	1	0	0	15	0	0	8	0	0	0	2	14	0	0	0	0	5	0	0	0	0	0	8	0	1	9	0	0	3	1	20	1	0	1	0	0	2	26	0	0	0	0	2	0	0	0	0	84	0	0	3	0	0	0	4	0	15	0	0	2	1	6	0	38	3	1	0	0	0	0	28	43	7	0	0	0	0	0	0	6	0	8	2	0	0	0	0
NCRNA00093	6	7	9	0	3	3	0	3	3	9	2	3	2	6	2	12	19	4	18	3	11	18	0	5	2	0	2	0	3	4	0	3	1	9	2	1	0	6	3	1	0	2	9	1	18	3	17	0	4	4	3	2	5	34	0	1	8	1	3	5	8	127	0	25	11	6	6	27	6	0	8	0	56	4	51	0	36	40	8	4	16	2	3	5	21	7	13	10	3	0	1	0	3	2	4	6	1	0	1	0	8	5	0	3	101	0	5	2	12	1	0	10	1	0	1	2	10	10	24	3	10	0	13	2	0	1	3	2	4	2	0	5	18	16	5	7	4	6	4	17	21	6	10	0	6	4	11	3	8	7	1	1	16	5	3	0
MS4A6E	1	0	0	0	7	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	4	0	0	0	0	0	2	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	386	0	0	0	0	0	0	0	6	0	0	1	0	1	0	0	1	0	0	5	0	43	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	1	0	0	1	0	0
CA9	2218	227	2446	1755	1286	556	5926	269	1405	644	349	495	57	1256	101	422	43	797	258	190	5328	13	24	2614	1209	584	160	53	2685	8	477	18	423	112	300	1035	4382	1487	48	3	1374	90	266	7	1085	417	777	616	2192	35	1367	2	18	13	7630	1294	1141	1884	4481	944	1143	2645	4244	693	6	215	4	2827	1269	1052	13735	1002	96	304	17	366	750	1273	562	1726	9	2069	6509	439	125	4	35	988	2338	864	312	450	331	162	2681	1691	289	4433	320	463	10	814	156	400	7	2395	189	28	181	353	515	1384	369	168	17	340	8	212	10	21	831	1132	335	903	120	598	1167	1094	74	281	272	392	35	1267	342	100	255	262	2817	217	137	14	427	3876	3255	743	362	3986	340	1617	1081	915	2953	279	4238	1035
CA6	0	0	0	0	0	0	0	40	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	5	0	0	2	0	1	0	0	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	119	0	4	0	0	2	0	0	0	0	564	0	0
F5	30	240	158	6	21	0	57	10	13	25	18	594	11	301	3	26	12	22	104	10	33	104	11	106	6	67	8	46	26	49	7	23	22	17	4	49	23	12	11	70	0	15	49	274	28	18	9	9	124	42	85	12	40	177	210	13	30	16	3079	57	39	25	23	44	127	23	9	101	59	25	160	26	40	0	44	67	43	295	421	18	126	9	423	11	194	261	134	77	5	6	2	1962	11	268	19	47	21	74	19	39	677	13	22	30	311	48	226	37	725	12	0	499	6	12	13	9	35	82	786	90	40	47	55	16	6	29	51	17	24	548	9	24	77	63	29	27	87	12	113	0	52	1563	26	48	50	1118	3	75	382	43	16	57	87	8	282	18
C15orf48	33	167	79	58	231	50	228	23	8	45	288	231	14	430	68	166	68	588	1155	43	345	19	59	77	49	358	46	15	99	21	103	8	7	46	251	59	24	115	7	11	84	3	146	10	54	193	31	750	140	20	205	16	21	0	104	440	140	80	732	75	91	6	500	392	8	25	13	14	53	111	192	149	141	36	27	12	57	63	102	272	4	63	213	90	121	104	63	424	126	51	12	51	23	62	124	187	45	126	213	23	10	182	32	208	0	35	81	10	314	83	7	32	54	28	24	51	4	33	5	32	51	330	180	96	16	62	114	8	303	26	76	45	34	85	140	5	53	273	688	129	35	23	33	77	284	62	16	12	101	29	105	176	89	68	84	211
SEMG1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	2	0	0	0
